Dataset,Oversampler,Classifier,Accuracy,Precision,Recall,F1 Score,ROC AUC,Time Taken
ECGFiveDays,none_sampling,rotation_forest,0.45760743321718933,0.0,0.0,0.0,0.11403272107228422,2.38718318939209
ElectricDevices,none_sampling,rotation_forest,0.9153157826481649,0.5603448275862069,0.09745127436281859,0.16602809706257982,0.73505283133561,77.57601523399353
EOGHorizontalSignal,none_sampling,rotation_forest,0.919889502762431,1.0,0.03333333333333333,0.06451612903225806,0.7828313253012048,32.45091986656189
EOGVerticalSignal,none_sampling,rotation_forest,0.919889502762431,1.0,0.03333333333333333,0.06451612903225806,0.8615963855421687,28.596678733825684
EthanolLevel,none_sampling,rotation_forest,0.806,1.0,0.23015873015873015,0.3741935483870968,0.9699303964009847,45.30837082862854
FaceAll,none_sampling,rotation_forest,0.9828402366863905,0.9777777777777777,0.6111111111111112,0.7521367521367521,0.9767760266446917,6.218142986297607
FaceFour,none_sampling,rotation_forest,0.8409090909090909,0.0,0.0,0.0,0.9763513513513514,5.281294107437134
FacesUCR,none_sampling,rotation_forest,0.973170731707317,0.9782608695652174,0.45454545454545453,0.6206896551724138,0.9509912036821314,3.3729946613311768
FiftyWords,none_sampling,rotation_forest,0.9516483516483516,1.0,0.6140350877192983,0.7608695652173914,0.9527682271004143,7.225415945053101
Fish,none_sampling,rotation_forest,0.8857142857142857,1.0,0.16666666666666666,0.2857142857142857,0.8912803532008831,8.607876777648926
FordA,none_sampling,rotation_forest,0.5159090909090909,0.0,0.0,0.0,0.7070105409746782,121.5864109992981
FordB,none_sampling,rotation_forest,0.5049382716049383,0.0,0.0,0.0,0.37939381375412323,137.46995782852173
FreezerRegularTrain,none_sampling,rotation_forest,0.9673684210526315,0.9940652818991098,0.9403508771929825,0.9664623151821132,0.9986986765158511,6.883926868438721
FreezerSmallTrain,none_sampling,rotation_forest,0.6670175438596492,0.8901639344262295,0.38105263157894737,0.5336609336609337,0.873833918128655,6.698867082595825
GunPoint,none_sampling,rotation_forest,0.35333333333333333,0.0,0.0,0.0,0.24404338549075394,2.3751442432403564
GunPointAgeSpan,none_sampling,rotation_forest,0.7531645569620253,1.0,0.5,0.6666666666666666,0.8952123397435898,2.5632290840148926
GunPointMaleVersusFemale,none_sampling,rotation_forest,0.8291139240506329,1.0,0.64,0.7804878048780488,0.985722891566265,2.6242659091949463
GunPointOldVersusYoung,none_sampling,rotation_forest,0.9682539682539683,1.0,0.9333333333333333,0.9655172413793104,1.0,2.5650579929351807
Ham,none_sampling,rotation_forest,0.5142857142857142,0.0,0.0,0.0,0.8108206245461148,6.957192897796631
HandOutlines,none_sampling,rotation_forest,0.8702702702702703,0.9775280898876404,0.6541353383458647,0.7837837837837838,0.9405317090193839,149.56069993972778
Haptics,none_sampling,rotation_forest,0.8051948051948052,0.0,0.0,0.0,0.632627688172043,19.287556648254395
Herring,none_sampling,rotation_forest,0.59375,0.0,0.0,0.0,0.6462550607287448,8.027645349502563
HouseTwenty,none_sampling,rotation_forest,0.5798319327731093,0.0,0.0,0.0,0.21681159420289856,30.615213871002197
InlineSkate,none_sampling,rotation_forest,0.9036363636363637,0.5,0.24528301886792453,0.3291139240506329,0.7313313845336168,30.750589847564697
InsectEPGRegularTrain,none_sampling,rotation_forest,1.0,1.0,1.0,1.0,1.0,9.434162139892578
InsectEPGSmallTrain,none_sampling,rotation_forest,1.0,1.0,1.0,1.0,1.0,9.097400188446045
InsectWingbeatSound,none_sampling,rotation_forest,0.9414141414141414,0.872093023255814,0.4166666666666667,0.5639097744360902,0.9539629629629629,6.701019763946533
ItalyPowerDemand,none_sampling,rotation_forest,0.2730806608357629,0.004219409282700422,0.001949317738791423,0.0026666666666666666,0.012062347945660886,0.532203197479248
